Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
06/02/2026;29/08/2026;30/08/2026;Ramada Hotel & Suites Campos Pelinca;R$ 378;Campos dos Goytacazes;Teste;383;8,6;4;Hotel;9,1;8,7;8,6;8,8;9,2;8,2;8,8;S;N;Hotel;-21.7543116;-41.338781400000016
06/02/2026;29/08/2026;30/08/2026;Kit Pronto Centro;R$ 117;Campos dos Goytacazes;Teste;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7622158;-41.3259367
06/02/2026;29/08/2026;30/08/2026;Kit Centro Extra;R$ 160;Campos dos Goytacazes;Teste;4;6,8;Sem Classificação;Privado;6,3;7,5;6,9;7,5;6,3;6,9;7,5;N;N;Apartamento;-21.7620364;-41.3258387
06/02/2026;29/08/2026;30/08/2026;Jockey Apto 1;R$ 90;Campos dos Goytacazes;Teste;25;6,0;3;Privado;7,0;6,5;6,0;6,6;7,0;6,5;0.0;N;N;Apartamento;-21.775597;-41.277399
06/02/2026;29/08/2026;30/08/2026;Apto no Centro;R$ 180;Campos dos Goytacazes;Teste;16;4,6;Sem Classificação;Privado;5,1;5,0;5,5;5,5;5,6;5,5;6,3;N;N;Apartamento;-21.762036;-41.325839
06/02/2026;29/08/2026;30/08/2026;Apto Agua Marinha 289;R$ 162;Campos dos Goytacazes;Teste;2;5,5;3;Privado;6,3;6,3;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Casa Centro Terreo;R$ 144;Campos dos Goytacazes;Teste;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;temporada;-21.7620364;-41.3258387
06/02/2026;29/08/2026;30/08/2026;Rua Lacerda sobrinho, 221;R$ 154;Campos dos Goytacazes;Teste;1;10;Sem Classificação;Privado;7,5;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-21.7620364;-41.3258387
06/02/2026;29/08/2026;30/08/2026;One Campos;R$ 280;Campos dos Goytacazes;Teste;2;5,5;3;Privado;8,8;6,3;5,0;6,3;6,3;5,0;0.0;N;N;Apartamento;-21.7637655;-41.34686
06/02/2026;29/08/2026;30/08/2026;Plaza Shopping Guarus;R$ 105;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.737697;-41.3070757
06/02/2026;29/08/2026;30/08/2026;Casal Agua Marinha;R$ 135;Campos dos Goytacazes;Teste;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-21.7651804;-41.3542734
06/02/2026;29/08/2026;30/08/2026;Apt no térreo com área externa, ideal para família com criança;R$ 135;Campos dos Goytacazes;Teste;10;7,4;3;Privado;8,0;7,0;7,5;7,7;7,8;8,8;0.0;N;N;Apartamento;-21.8139727562417;-41.2963303337443
06/02/2026;29/08/2026;30/08/2026;Água Campos;R$ 180;Campos dos Goytacazes;Teste;3;7,7;Sem Classificação;Privado;9,2;7,5;7,5;8,3;10,0;8,3;0.0;N;N;Apartamento;-21.7647728;-41.3546532
06/02/2026;29/08/2026;30/08/2026;Dom Gabriel;R$ 156;Campos dos Goytacazes;Teste;3;7,3;3;Privado;8,3;7,5;7,5;7,5;9,2;8,3;0.0;N;N;Apartamento;-21.775415;-41.277661
06/02/2026;29/08/2026;30/08/2026;Agua com churrasqueira;R$ 216;Campos dos Goytacazes;Teste;2;7,0;3;Privado;7,5;7,5;8,7;7,5;6,3;6,3;0.0;N;N;Apartamento;-21.7641713;-41.3540956
