Dt-Proce;Dt-Inicio;Dt-Fim;Nome;Tarifa;Cidade;Identifica;Avaliações;Nota;Estrelas;Propriedade;Funcionários;Comodidades;Limpeza;Conforto;Relação Qualidade/Preço;Localização;Wifi;Travel-Proud;Sustentabilidade;Tipo;Latitude;Longitude
04/12/2025;22/12/2025;23/12/2025;casa paraiso 1980;R$ 310;Sinop;Diaria;1;10;Sem Classificação;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8668881;-55.5190883
04/12/2025;22/12/2025;23/12/2025;VivaVida Imperial 103;R$ 200;Sinop;Diaria;7;8,5;3;Privado;9,2;9,6;9,6;9,6;9,6;9,6;0.0;N;N;Apartamento;-11.8430528;-55.51452
04/12/2025;22/12/2025;23/12/2025;Casa GZ - Quarto 01 - Ideal para quem vem a Sinop a trabalho!;R$ 273;Sinop;Diaria;1;5,0;Sem Classificação;Privado;5,0;5,0;5,0;5,0;2,5;10,0;0.0;N;N;hóspedes;-11.8883320225461;-55.4777286711173
04/12/2025;22/12/2025;23/12/2025;VivaVida Bounganvilli 02;R$ 146;Sinop;Diaria;7;9,6;3;Privado;9,3;9,3;9,3;9,3;7,9;9,3;0.0;N;N;Apartamento;-11.8890995;-55.5426243
04/12/2025;22/12/2025;23/12/2025;Casa Carvalho;R$ 130;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;domiciliar;-11.8813663;-55.5110588
04/12/2025;22/12/2025;23/12/2025;Apartamento completo e bem localizado;R$ 402;Sinop;Diaria;2;10;3;Privado;10,0;10,0;10,0;10,0;10,0;10,0;0.0;N;N;Apartamento;-11.8645774;-55.5292555
04/12/2025;22/12/2025;23/12/2025;Casa Ideal e Confortável;R$ 980;Sinop;Diaria;3;8,0;4;Privado;7,5;9,2;8,3;7,5;10,0;8,3;0.0;N;N;temporada;-11.863133928857;-55.525889842105
04/12/2025;22/12/2025;23/12/2025;Casa prática;R$ 198;Sinop;Diaria;3;7,7;Sem Classificação;Privado;9,2;8,3;7,5;8,8;10,0;9,2;0.0;N;N;temporada;-11.8679483;-55.5237809
04/12/2025;22/12/2025;23/12/2025;Nalevaiko- Apto Completo com Suíte e Garagem sinop;R$ 385;Sinop;Diaria;0;0;3;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.8694871;-55.5069542
04/12/2025;22/12/2025;23/12/2025;Espaço aconchego a 3 minutos do centro;R$ 381;Sinop;Diaria;10;9,9;3;Privado;10,0;9,6;9,6;10,0;9,3;10,0;0.0;N;N;Apartamento;-11.8403392510302;-55.497336996106
04/12/2025;22/12/2025;23/12/2025;Residencial jardim bougainville;R$ 380;Sinop;Diaria;0;0;Sem Classificação;Privado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;N;N;Apartamento;-11.884598;-55.538617
